combination,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,elapsed,accuracy
4-11,600,0.1,5,1.0,1.0,1,41.20964598655701,0.7323010752688172
4-12,200,0.1,8,0.7,1.0,10,43.35627555847168,0.7372903225806452
4-13,600,0.01,5,1.0,1.0,10,47.20643734931946,0.7025376344086022
4-14,400,0.05,8,0.7,1.0,10,51.881131172180176,0.7448602150537634
5-1,200,0.05,8,1.0,1.0,10,2.98565411567688,0.7231827956989247
5-2,400,0.1,8,0.7,0.8,1,7.046015024185181,0.7565591397849463
5-3,200,0.1,5,0.7,0.8,10,8.225000858306885,0.7154408602150537
5-4,400,0.1,8,1.0,0.8,50,12.327948331832886,0.7360860215053764
5-5,200,0.01,8,1.0,1.0,50,14.56797170639038,0.7049462365591398
5-6,600,0.1,8,0.7,0.8,50,20.92494773864746,0.743741935483871
5-7,600,0.05,5,1.0,0.8,1,24.31292200088501,0.7191397849462365
5-8,200,0.05,8,0.7,0.8,1,26.435125827789307,0.7335913978494624
5-9,400,0.1,8,1.0,1.0,10,30.28877830505371,0.7458064516129033
5-10,600,0.01,8,0.7,1.0,10,37.03954267501831,0.7216344086021506
5-11,600,0.01,5,1.0,0.8,10,40.7211537361145,0.7018494623655914
5-12,400,0.05,8,1.0,1.0,1,44.64986181259155,0.7326451612903225
5-13,600,0.1,8,1.0,0.8,1,50.38454461097717,0.7513118279569893
5-14,600,0.05,8,0.7,0.8,10,56.52903938293457,0.7454623655913979
6-1,400,0.01,5,1.0,1.0,50,3.9228479862213135,0.6980645161290323
6-2,400,0.01,8,1.0,1.0,50,8.447991132736206,0.7085591397849462
6-3,200,0.05,5,1.0,1.0,10,9.682323694229126,0.7062365591397849
6-4,200,0.01,5,0.7,1.0,50,10.95160436630249,0.6951397849462365
6-5,200,0.01,8,0.7,0.8,50,13.342314004898071,0.7052043010752688
6-6,600,0.1,5,0.7,1.0,1,16.87324595451355,0.7367741935483871
6-7,400,0.05,8,1.0,0.8,50,20.90086793899536,0.7274838709677419
6-8,600,0.01,5,0.7,0.8,1,24.74434494972229,0.703741935483871
6-9,400,0.1,5,0.7,1.0,10,27.095290660858154,0.7279139784946237
6-10,400,0.05,8,0.7,0.8,50,31.349059343338013,0.7318709677419355
6-11,600,0.1,8,1.0,1.0,50,37.508671283721924,0.7435698924731183
6-12,600,0.05,8,0.7,0.8,50,43.899062395095825,0.7380645161290322
6-13,400,0.1,8,0.7,1.0,50,48.36686110496521,0.7404731182795699
6-14,600,0.01,5,0.7,0.8,50,52.047083616256714,0.7000430107526882
7-1,600,0.05,5,1.0,0.8,10,4.32969331741333,0.7150967741935483
7-2,600,0.01,8,1.0,1.0,50,12.353964805603027,0.7123440860215053
7-3,200,0.01,8,0.7,1.0,1,14.74661111831665,0.714494623655914
7-4,400,0.1,5,1.0,0.8,10,16.93866229057312,0.7189677419354839
7-5,200,0.01,5,1.0,0.8,1,18.20446801185608,0.6964301075268817
7-6,200,0.01,8,1.0,1.0,10,20.483128547668457,0.7086451612903226
7-7,200,0.05,8,1.0,1.0,1,22.719589233398438,0.7264516129032258
7-8,400,0.1,8,1.0,1.0,50,26.608476877212524,0.7378924731182795
7-9,400,0.01,8,0.7,1.0,1,31.14612078666687,0.7201720430107527
7-10,200,0.1,5,1.0,1.0,50,33.33445358276367,0.7080430107526882
7-11,200,0.01,5,1.0,1.0,1,34.60798501968384,0.696516129032258
7-12,600,0.1,8,0.7,1.0,10,40.97451734542847,0.7506236559139785
7-13,600,0.01,8,0.7,1.0,50,47.76062345504761,0.7118279569892473
7-14,200,0.01,5,0.7,0.8,1,49.06328082084656,0.6966021505376344
8-1,600,0.05,5,1.0,0.8,50,4.321807146072388,0.7114838709677419
